epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9351,2.09217,2.71622,2.5047,0.01608,0.22436,0.00623,0.00131,3.61359,183.317,10.6125,0.0019,0.0019,0.0829
2,13.3231,1.89529,2.40543,2.32094,0.00011,0.01923,0.00013,1e-05,4.39624,inf,192.212,0.00389905,0.00389905,0.064899
3,15.5975,1.87194,2.24575,2.28843,0.00104,0.09402,0.0003,8e-05,4.9625,inf,124.989,0.00589424,0.00589424,0.0468942
4,17.8734,1.87224,2.21564,2.27954,0,0,0,0,5.30636,inf,877.56,0.00788265,0.00788265,0.0288826
5,20.167,1.84575,2.30241,2.26294,0,0,0,0,5.47921,inf,120.79,0.00986136,0.00986136,0.0108614
6,22.431,1.8062,2.17422,2.20478,0.00102,0.05769,0.00043,0.0001,4.67765,inf,63.4818,0.00993906,0.00993906,0.00993906
7,24.7,1.7493,2.10809,2.17289,0.02024,0.15385,0.01214,0.00282,3.44115,18.2954,5.59475,0.00991232,0.00991232,0.00991232
8,26.9308,1.72222,2.0384,2.12875,0.53337,0.21154,0.03443,0.00831,3.07901,17.5289,5.07697,0.00988079,0.00988079,0.00988079
9,29.1414,1.66128,1.98831,2.0718,0.52461,0.17308,0.02445,0.00514,3.77364,5.2731,6.37756,0.00984449,0.00984449,0.00984449
10,31.3531,1.64241,1.95627,2.07198,0.0805,0.28632,0.04087,0.01443,2.53711,6.38525,3.49361,0.00980345,0.00980345,0.00980345
11,33.6139,1.58571,1.89314,2.02412,0.72048,0.23077,0.29197,0.11276,2.2368,2.26498,3.0139,0.00975773,0.00975773,0.00975773
12,35.8731,1.63609,1.88109,2.06852,0.15655,0.34402,0.11765,0.04493,2.26575,3.76675,2.96615,0.00970736,0.00970736,0.00970736
13,38.1264,1.55572,1.84711,1.99835,0.04562,0.32479,0.03704,0.01505,2.07803,9.0551,2.85757,0.00965239,0.00965239,0.00965239
14,40.4194,1.60112,1.88047,2.05422,0.01426,0.19231,0.01226,0.00482,2.28007,22.8156,4.81173,0.00959289,0.00959289,0.00959289
15,42.6039,1.54434,1.73164,1.95682,0.44899,0.60684,0.56279,0.224,1.96061,2.98141,2.66242,0.00952889,0.00952889,0.00952889
16,44.9285,1.5886,1.82309,1.98941,0.64471,0.64655,0.73012,0.22042,2.1531,1.93926,2.90785,0.00946048,0.00946048,0.00946048
17,47.1649,1.52368,1.7864,1.94729,0.66626,0.63109,0.63468,0.2862,1.73538,1.95789,2.32431,0.00938772,0.00938772,0.00938772
18,49.4556,1.57713,1.83373,2.01043,0.7355,0.69983,0.75614,0.33756,1.88577,1.85338,2.51056,0.00931067,0.00931067,0.00931067
19,51.6703,1.48172,1.73572,1.91017,0.5351,0.62607,0.526,0.19642,1.93307,2.24193,2.63231,0.00922942,0.00922942,0.00922942
20,54.2194,1.53184,1.75607,1.94105,0.79604,0.53155,0.64371,0.29214,1.86484,1.72976,2.43376,0.00914405,0.00914405,0.00914405
21,56.4243,1.49934,1.65046,1.93095,0.67527,0.59652,0.58364,0.22913,1.85213,1.78737,2.36097,0.00905463,0.00905463,0.00905463
22,58.68,1.56494,1.74233,1.97524,0.64929,0.51282,0.6482,0.27583,2.08969,2.02007,2.72203,0.00896127,0.00896127,0.00896127
23,60.8715,1.51598,1.70027,1.92631,0.67274,0.68162,0.78026,0.34345,1.86939,1.79053,2.43924,0.00886404,0.00886404,0.00886404
24,63.1638,1.48949,1.69561,1.92678,0.59611,0.73504,0.68381,0.27993,2.01165,1.83398,2.79133,0.00876305,0.00876305,0.00876305
25,65.3545,1.49335,1.65577,1.88805,0.40052,0.55128,0.52555,0.21013,1.88122,2.10855,2.69032,0.00865839,0.00865839,0.00865839
26,67.4929,1.45077,1.6354,1.89063,0.56726,0.49359,0.49235,0.19195,2.0651,2.11497,2.98597,0.00855018,0.00855018,0.00855018
